table,file,select,join,insert,update,delete,total_refs
t_cargo,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,0,5,0,0,0,5
t_cargo,AtlantesBE-main/AtlantesBE-main/app/routes/contabilidad.php,0,9,0,6,0,15
t_cargo,AtlantesBE-main/AtlantesBE-main/app/routes/embarques.php,3,0,4,2,2,11
t_cargo,almacen.sql,0,15,0,0,0,15
t_categoriaalmacendetalle,AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,0,3,0,0,0,3
t_centro_rubro,AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,0,1,0,0,0,1
t_centro_rubro,AtlantesBE-main/AtlantesBE-main/app/routes/datosmaestro.php,1,0,0,0,0,1
t_ciudad,AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,0,7,0,0,0,7
t_ciudad,AtlantesBE-main/AtlantesBE-main/app/routes/contabilidad.php,0,18,0,0,0,18
t_ciudad,AtlantesBE-main/AtlantesBE-main/app/routes/datosmaestro.php,2,0,1,1,0,4
t_ciudad,AtlantesBE-main/AtlantesBE-main/app/routes/embarques.php,0,6,0,0,0,6
t_ciudad,AtlantesBE-main/AtlantesBE-main/app/routes/entidades.php,0,1,0,0,0,1
t_ciudad,AtlantesBE-main/AtlantesBE-main/app/routes/usuarios.php,0,4,0,0,0,4
t_ciudad,AtlantesBE-main/AtlantesBE-main/app/services/DateTimeService.php,1,1,0,0,0,2
t_ciudad,almacen.sql,0,5,0,0,0,5
t_clasificacion,AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,0,7,0,0,0,7
t_clasificacion,AtlantesBE-main/AtlantesBE-main/app/routes/datosmaestro.php,1,0,0,0,0,1
t_cleintemetodotimbrado,AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,0,4,0,0,0,4
t_cleintemetodotimbrado,AtlantesBE-main/AtlantesBE-main/app/routes/entidades.php,2,0,2,1,1,6
t_cliente,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,0,6,0,0,0,6
t_cliente,AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,19,56,0,0,0,75
t_cliente,AtlantesBE-main/AtlantesBE-main/app/routes/contabilidad.php,1,27,0,0,0,28
t_cliente,AtlantesBE-main/AtlantesBE-main/app/routes/datosmaestro.php,0,2,0,0,0,2
t_cliente,AtlantesBE-main/AtlantesBE-main/app/routes/embarques.php,0,10,0,0,0,10
t_cliente,AtlantesBE-main/AtlantesBE-main/app/routes/entidades.php,0,7,1,1,0,9
t_cliente,almacen.sql,0,10,0,0,0,10
t_clientecorreofacturacion,AtlantesBE-main/AtlantesBE-main/app/routes/entidades.php,2,0,2,1,1,6
t_clientecorreovencimientoprm,AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,1,1,0,0,0,2
t_clientediasvencimiento,AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,3,3,0,0,0,6
t_clientediasvencimiento,AtlantesBE-main/AtlantesBE-main/app/routes/entidades.php,2,0,2,1,1,6
t_clientedireccion,AtlantesBE-main/AtlantesBE-main/app/routes/embarques.php,2,0,0,0,0,2
