action,table,file,line
JOIN,t_tipocambio,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,60
JOIN,t_concepto,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,153
JOIN,t_facturapago,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,154
JOIN,t_tipofacturapago,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,155
JOIN,t_embarque,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,156
JOIN,t_cliente,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,157
JOIN,t_proveedor,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,158
JOIN,t_prestador,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,159
JOIN,t_agentecarga,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,160
JOIN,t_cliente,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,161
JOIN,t_proveedor,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,162
JOIN,t_prestador,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,163
JOIN,t_transportista,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,164
JOIN,t_agentecarga,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,165
JOIN,t_tipocambio,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,166
JOIN,t_divisa,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,167
UPDATE,t_facturapago,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,228
UPDATE,t_facturapago,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,242
JOIN,t_cargo,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,309
JOIN,t_concepto,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,310
JOIN,t_tipocambio,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,311
JOIN,t_embarque,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,312
JOIN,t_cliente,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,313
JOIN,t_estadofactura,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,314
JOIN,t_cargo,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,343
JOIN,t_embarque,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,344
JOIN,t_cliente,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,345
JOIN,t_estadofactura,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,346
JOIN,t_concepto,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,347
JOIN,t_tipocambio,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,348
UPDATE,t_factura,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,452
UPDATE,t_factura,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,467
SELECT,t_factura,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,502
JOIN,t_cargo,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,537
JOIN,t_concepto,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,538
JOIN,t_tipocambio,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,539
JOIN,t_embarque,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,540
JOIN,t_cliente,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,541
JOIN,t_estadofactura,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,542
JOIN,t_cargo,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,572
JOIN,t_embarque,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,573
JOIN,t_cliente,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,574
JOIN,t_estadofactura,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,575
JOIN,t_concepto,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,576
JOIN,t_tipocambio,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,577
UPDATE,t_factura,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,716
SELECT,t_factura,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,730
UPDATE,t_factura,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,749
UPDATE,t_factura,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,767
SELECT,dav_banco,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,847
SELECT,dav_pagosdetalle,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,852
JOIN,dav_facturaplanilla,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,853
JOIN,dav_concepto,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,854
JOIN,dav_casos,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,855
JOIN,dav_cliente,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,856
SELECT,dav_banco,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,870
SELECT,dav_notasdebitodetalle,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,873
JOIN,dav_notasdebito,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,874
JOIN,dav_casos,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,875
JOIN,dav_concepto,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,876
JOIN,dav_cliente,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,877
JOIN,dav_tiponotasdebito,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,878
SELECT,dav_pagos,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,882
JOIN,dav_banco,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,883
SELECT,dav_pagosdetalle,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,888
JOIN,dav_pagos,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,898
JOIN,dav_casos,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,899
JOIN,dav_concepto,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,900
JOIN,dav_banco,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,901
JOIN,dav_cliente,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,902
SELECT,dav_concepto,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,919
SELECT,dav_banco,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,920
SELECT,dav_pagosdetalle,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,928
JOIN,dav_facturaplanilla,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,929
JOIN,dav_casos,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,930
JOIN,dav_cliente,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,931
JOIN,dav_pagos,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,932
JOIN,dav_concepto,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,933
JOIN,dav_banco,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,937
SELECT,dav_pagosovp,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,994
SELECT,dav_pagosovp,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,996
UPDATE,dav_pagosovp,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,1001
INSERT,dav_pagosovp,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,1005
SELECT,dav_pagosovp,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,1019
SELECT,dav_pagosovp,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,1021
UPDATE,dav_pagosovp,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,1026
INSERT,dav_pagosovp,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,1030
SELECT,dav_concepto,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,1080
SELECT,dav_banco,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,1082
JOIN,dav_casos,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,1087
JOIN,dav_cliente,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,1088
JOIN,dav_tiponotasdebito,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,1089
JOIN,dav_notasdebitodetalle,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,1090
JOIN,dav_concepto,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,1091
JOIN,dav_notasdebito,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,1100
JOIN,dav_casos,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,1101
JOIN,dav_concepto,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,1102
JOIN,dav_cliente,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,1103
SELECT,dav_concepto,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,1110
SELECT,dav_pagosovp,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,1160
UPDATE,dav_pagosovp,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,1164
INSERT,dav_pagosovp,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,1168
SELECT,dav_pagosovp,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,1176
UPDATE,dav_pagosovp,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,1190
UPDATE,dav_pagosovp,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,1202
SELECT,dav_pagosovp,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,1218
UPDATE,dav_pagosovp,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,1222
INSERT,dav_pagosovp,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,1226
SELECT,dav_concepto,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,1278
SELECT,dav_banco,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,1280
JOIN,dav_casos,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,1291
JOIN,dav_cliente,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,1292
JOIN,dav_tiponotasdebito,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,1293
JOIN,dav_notasdebitodetalle,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,1294
