path,component,file,line
reporte-contabilidad-estadocuentas,ReporteContabilidadEstadocuentasComponent,AtlantesFE-main/AtlantesFE-main/src/app/app.routing.ts,213
reporte-contabilidad-saldos,ReporteContabilidadSaldosComponent,AtlantesFE-main/AtlantesFE-main/src/app/app.routing.ts,214
reporte-contabilidad-libroventas,ReporteContabilidadLibroventasComponent,AtlantesFE-main/AtlantesFE-main/src/app/app.routing.ts,215
reporte-contabilidad-invoices,ReporteContabilidadInvoicesComponent,AtlantesFE-main/AtlantesFE-main/src/app/app.routing.ts,216
reporte-contabilidad-facturas-notascobranza,ReporteContabilidadFacturasNotascobranzaComponent,AtlantesFE-main/AtlantesFE-main/src/app/app.routing.ts,217
reporte-contabilidad-transaccionesfnc,ReporteContabilidadTransaccionesfncComponent,AtlantesFE-main/AtlantesFE-main/src/app/app.routing.ts,218
reporte-contabilidad-ordenes-pago,ReporteContabilidadOrdenesPagoComponent,AtlantesFE-main/AtlantesFE-main/src/app/app.routing.ts,219
reporte-contabilidad-cobranzas,ReporteContabilidadCobranzasComponent,AtlantesFE-main/AtlantesFE-main/src/app/app.routing.ts,220
reporte-contabilidad-facturas-concepto,ReporteContabilidadFacturasConceptoComponent,AtlantesFE-main/AtlantesFE-main/src/app/app.routing.ts,221
reporte-contabilidad-ordenes-pago-concepto,ReporteContabilidadOrdenesPagoConceptoComponent,AtlantesFE-main/AtlantesFE-main/src/app/app.routing.ts,222
reporte-contabilidad-anticipos,ReporteContabilidadAnticiposComponent,AtlantesFE-main/AtlantesFE-main/src/app/app.routing.ts,223
reporte-contabilidad-conceptos,ReporteContabilidadConceptosComponent,AtlantesFE-main/AtlantesFE-main/src/app/app.routing.ts,224
dashboard-almacen,DashboardAlmacenComponent,AtlantesFE-main/AtlantesFE-main/src/app/app.routing.ts,227
dashboard-monitoreo-centros,DashboardMonitoreoCentrosComponent,AtlantesFE-main/AtlantesFE-main/src/app/app.routing.ts,228
dashboard-grafico-centros,DashboardGraficoCentrosComponent,AtlantesFE-main/AtlantesFE-main/src/app/app.routing.ts,229
dashboard-ate-gas,DashboardAteGasComponent,AtlantesFE-main/AtlantesFE-main/src/app/app.routing.ts,230
**,NotFoundComponent,AtlantesFE-main/AtlantesFE-main/src/app/app.routing.ts,235
